model,dataset,paper_auprc,reproduced_auprc,delta,status,max_instances,subset_strategy,notes
Detoxify,OpenAI Mod,0.78,,,BLOCKED,,,Full dataset/cache not produced in this budget-capped run
Detoxify,ToxicChat,0.386,0.7078231908235595,0.3218231908235595,PARTIAL,100,balanced,ToxicChat subset (balanced); no paid APIs; local/free models only
Detoxify,XSTest,0.66,0.8683075283273901,0.20830752832739008,PARTIAL,100,balanced,XSTest subset (balanced); no paid APIs; local/free models only
Detoxify,Overkill,0.462,0.5868963914372108,0.12489639143721082,PARTIAL,100,balanced,Overkill subset (balanced); no paid APIs; local/free models only
Detoxify,BeaverTails,0.636,,,BLOCKED,,,Full dataset/cache not produced in this budget-capped run
Detoxify,TwinSafety,0.598,0.4651838259040192,-0.1328161740959808,PARTIAL,100,balanced,TwinSafety subset (balanced); no paid APIs; local/free models only
Perspective,OpenAI Mod,0.787,,,BLOCKED,,,Blocked by budget/API policy unless explicitly approved; no full cached scores in repo
Perspective,ToxicChat,0.499,,,BLOCKED,,,Blocked by budget/API policy unless explicitly approved; no full cached scores in repo
Perspective,XSTest,0.671,,,BLOCKED,,,Blocked by budget/API policy unless explicitly approved; no full cached scores in repo
Perspective,Overkill,0.543,,,BLOCKED,,,Blocked by budget/API policy unless explicitly approved; no full cached scores in repo
Perspective,BeaverTails,0.761,,,BLOCKED,,,Blocked by budget/API policy unless explicitly approved; no full cached scores in repo
Perspective,TwinSafety,0.583,,,BLOCKED,,,Blocked by budget/API policy unless explicitly approved; no full cached scores in repo
Azure,OpenAI Mod,0.743,,,BLOCKED,,,Blocked by budget/API policy unless explicitly approved; no full cached scores in repo
Azure,ToxicChat,0.553,,,BLOCKED,,,Blocked by budget/API policy unless explicitly approved; no full cached scores in repo
Azure,XSTest,0.722,,,BLOCKED,,,Blocked by budget/API policy unless explicitly approved; no full cached scores in repo
Azure,Overkill,0.7,,,BLOCKED,,,Blocked by budget/API policy unless explicitly approved; no full cached scores in repo
Azure,BeaverTails,0.787,,,BLOCKED,,,Blocked by budget/API policy unless explicitly approved; no full cached scores in repo
