model,attack,paper_udr,reproduced_udr,delta,status,notes
ToxicChat-T5,Benign,0.541,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
ToxicChat-T5,GCG-U1,0.395,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
ToxicChat-T5,GCG-U2,0.261,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
ToxicChat-T5,GCG-V,0.451,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
ToxicChat-T5,GCG-L,0.279,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
ToxicChat-T5,GCG-R,0.382,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
ToxicChat-T5,AutoDAN,0.663,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
ToxicChat-T5,PAIR,0.314,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
ToxicChat-T5,TAP,0.056,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
OpenAI Mod,Benign,0.645,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
OpenAI Mod,GCG-U1,0.512,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
OpenAI Mod,GCG-U2,0.516,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
OpenAI Mod,GCG-V,0.524,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
OpenAI Mod,GCG-L,0.526,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
OpenAI Mod,GCG-R,0.505,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
OpenAI Mod,AutoDAN,0.068,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
OpenAI Mod,PAIR,0.359,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
OpenAI Mod,TAP,0.061,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
LlamaGuard,Benign,0.824,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
LlamaGuard,GCG-U1,0.685,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
LlamaGuard,GCG-U2,0.603,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
LlamaGuard,GCG-V,0.711,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
LlamaGuard,GCG-L,0.362,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
