model,dataset,paper_reference_model,paper_auprc,reproduced_auprc,delta,status,num_instances,runtime_seconds,notes
Detoxify,OpenAI Mod,Detoxify,0.78,0.7797461453228797,-0.0002538546771203576,EXACT-LOCAL,1680,0.01061248779296875,Full dataset and same local model family as paper; no paid API
Detoxify,ToxicChat,Detoxify,0.386,0.4004593995200462,0.014459399520046212,EXACT-LOCAL,5083,0.013709306716918945,Full dataset and same local model family as paper; no paid API
Detoxify,XSTest,Detoxify,0.66,0.6595135594342971,-0.00048644056570290584,EXACT-LOCAL,450,0.005427360534667969,Full dataset and same local model family as paper; no paid API
Detoxify,Overkill,Detoxify,0.462,0.46257655555067034,0.0005765555506703213,EXACT-LOCAL,500,0.004942178726196289,Full dataset and same local model family as paper; no paid API
Detoxify,BeaverTails,Detoxify,0.636,0.6361684313285679,0.00016843132856791954,EXACT-LOCAL,3021,606.8151264190674,Full dataset and same local model family as paper; no paid API
Detoxify,TwinSafety,Detoxify,0.598,0.5978033670060525,-0.00019663299394745426,EXACT-LOCAL,300,0.004626035690307617,Full dataset and same local model family as paper; no paid API
ToxicChat-T5,OpenAI Mod,ToxicChat-T5,0.787,0.7871987209261866,0.00019872092618655746,EXACT-LOCAL,1680,0.003971099853515625,Full dataset and same local model family as paper; no paid API
ToxicChat-T5,ToxicChat,ToxicChat-T5,0.885,0.8848956823259938,-0.00010431767400620462,EXACT-LOCAL,5083,0.005628347396850586,Full dataset and same local model family as paper; no paid API
ToxicChat-T5,XSTest,ToxicChat-T5,0.819,0.8189983180769338,-1.681923066154667e-06,EXACT-LOCAL,450,0.004388093948364258,Full dataset and same local model family as paper; no paid API
ToxicChat-T5,Overkill,ToxicChat-T5,0.801,0.8008279081323357,-0.0001720918676643146,EXACT-LOCAL,500,0.004134654998779297,Full dataset and same local model family as paper; no paid API
ToxicChat-T5,BeaverTails,ToxicChat-T5,0.761,0.7611553624836135,0.00015536248361347482,EXACT-LOCAL,3021,193.0086488723755,Full dataset and same local model family as paper; no paid API
ToxicChat-T5,TwinSafety,ToxicChat-T5,0.607,0.6067726585380147,-0.0002273414619853309,EXACT-LOCAL,300,0.0035827159881591797,Full dataset and same local model family as paper; no paid API
Ensemble,OpenAI Mod,Ensemble,0.876,0.8081551823721133,-0.06784481762788674,PARTIAL-COMPONENT,1680,0.02853107452392578,"Full dataset, but R2-Guard uses only Detoxify + ToxicChat-T5 rather than paper OpenAI Mod + LlamaGuard + ToxicChat-T5"
Ensemble,ToxicChat,Ensemble,0.882,0.8728400395060156,-0.009159960493984376,PARTIAL-COMPONENT,5083,0.024268150329589844,"Full dataset, but R2-Guard uses only Detoxify + ToxicChat-T5 rather than paper OpenAI Mod + LlamaGuard + ToxicChat-T5"
Ensemble,XSTest,Ensemble,0.81,0.8055586227465681,-0.004441377253431966,PARTIAL-COMPONENT,450,0.022380352020263672,"Full dataset, but R2-Guard uses only Detoxify + ToxicChat-T5 rather than paper OpenAI Mod + LlamaGuard + ToxicChat-T5"
Ensemble,Overkill,Ensemble,0.879,0.7462486869034711,-0.13275131309652888,PARTIAL-COMPONENT,500,0.030287981033325195,"Full dataset, but R2-Guard uses only Detoxify + ToxicChat-T5 rather than paper OpenAI Mod + LlamaGuard + ToxicChat-T5"
Ensemble,BeaverTails,Ensemble,0.797,0.7322521789246508,-0.06474782107534927,PARTIAL-COMPONENT,3021,0.025391578674316406,"Full dataset, but R2-Guard uses only Detoxify + ToxicChat-T5 rather than paper OpenAI Mod + LlamaGuard + ToxicChat-T5"
Ensemble,TwinSafety,Ensemble,0.653,0.6012736915210753,-0.051726308478924676,PARTIAL-COMPONENT,300,0.022680282592773438,"Full dataset, but R2-Guard uses only Detoxify + ToxicChat-T5 rather than paper OpenAI Mod + LlamaGuard + ToxicChat-T5"
R2-Guard MLN local-components,OpenAI Mod,R2-Guard MLN,0.926,0.8193763067902078,-0.10662369320979226,PARTIAL-COMPONENT,1680,0.3473186492919922,"Full dataset, but R2-Guard uses only Detoxify + ToxicChat-T5 rather than paper OpenAI Mod + LlamaGuard + ToxicChat-T5"
R2-Guard MLN local-components,ToxicChat,R2-Guard MLN,0.903,0.8261528472714276,-0.07684715272857245,PARTIAL-COMPONENT,5083,0.9843108654022217,"Full dataset, but R2-Guard uses only Detoxify + ToxicChat-T5 rather than paper OpenAI Mod + LlamaGuard + ToxicChat-T5"
