model,dataset,paper_auprc,subset_auprc,delta_vs_paper_full,status,num_instances,subset_strategy,runtime_seconds,notes
OpenAI Mod,BeaverTails,0.728,0.6628103798631452,-0.06518962013685481,RECONSTRUCTED-CURRENT-API-SUBSET,64,balanced,71.87076449394226,balanced n64 subset; OpenAI current default moderation API; LlamaGuard 8-bit local; not full Table 2
OpenAI Mod,OpenAI Mod,0.87,0.7661652713110838,-0.10383472868891619,RECONSTRUCTED-CURRENT-API-SUBSET,64,balanced,72.06773519515991,balanced n64 subset; OpenAI current default moderation API; LlamaGuard 8-bit local; not full Table 2
OpenAI Mod,Overkill,0.796,0.9219077858877045,0.12590778588770446,RECONSTRUCTED-CURRENT-API-SUBSET,64,balanced,71.09456014633179,balanced n64 subset; OpenAI current default moderation API; LlamaGuard 8-bit local; not full Table 2
OpenAI Mod,ToxicChat,0.617,0.7660578734405958,0.14905787344059584,RECONSTRUCTED-CURRENT-API-SUBSET,64,balanced,72.046546459198,balanced n64 subset; OpenAI current default moderation API; LlamaGuard 8-bit local; not full Table 2
OpenAI Mod,TwinSafety,0.607,0.5487226214075189,-0.058277378592481055,RECONSTRUCTED-CURRENT-API-SUBSET,64,balanced,71.01613855361938,balanced n64 subset; OpenAI current default moderation API; LlamaGuard 8-bit local; not full Table 2
OpenAI Mod,XSTest,0.778,0.9150428112783036,0.13704281127830353,RECONSTRUCTED-CURRENT-API-SUBSET,64,balanced,71.16204333305359,balanced n64 subset; OpenAI current default moderation API; LlamaGuard 8-bit local; not full Table 2
Ensemble,BeaverTails,0.797,0.6907147005765808,-0.10628529942341924,OFFICIAL-STYLE-SUBSET,64,balanced,0.03179621696472168,balanced n64 subset; OpenAI current default moderation API; LlamaGuard 8-bit local; not full Table 2
Ensemble,OpenAI Mod,0.876,0.9048205262549506,0.028820526254950574,OFFICIAL-STYLE-SUBSET,64,balanced,0.02250218391418457,balanced n64 subset; OpenAI current default moderation API; LlamaGuard 8-bit local; not full Table 2
Ensemble,Overkill,0.879,0.9627042854016047,0.08370428540160468,OFFICIAL-STYLE-SUBSET,64,balanced,0.024640560150146484,balanced n64 subset; OpenAI current default moderation API; LlamaGuard 8-bit local; not full Table 2
Ensemble,ToxicChat,0.882,0.9670288900075106,0.08502889000751057,OFFICIAL-STYLE-SUBSET,64,balanced,0.029541969299316406,balanced n64 subset; OpenAI current default moderation API; LlamaGuard 8-bit local; not full Table 2
Ensemble,TwinSafety,0.653,0.523721072025433,-0.12927892797456697,OFFICIAL-STYLE-SUBSET,64,balanced,0.022839069366455078,balanced n64 subset; OpenAI current default moderation API; LlamaGuard 8-bit local; not full Table 2
Ensemble,XSTest,0.81,0.9062754641005413,0.09627546410054122,OFFICIAL-STYLE-SUBSET,64,balanced,0.0254514217376709,balanced n64 subset; OpenAI current default moderation API; LlamaGuard 8-bit local; not full Table 2
R2-Guard MLN,BeaverTails,0.83,0.6445922479944655,-0.1854077520055345,OFFICIAL-STYLE-SUBSET,64,balanced,0.07108426094055176,balanced n64 subset; OpenAI current default moderation API; LlamaGuard 8-bit local; not full Table 2
R2-Guard MLN,OpenAI Mod,0.926,0.9002773428017755,-0.02572265719822453,OFFICIAL-STYLE-SUBSET,64,balanced,0.06404614448547363,balanced n64 subset; OpenAI current default moderation API; LlamaGuard 8-bit local; not full Table 2
R2-Guard MLN,Overkill,0.921,0.9782202611397128,0.05722026113971279,OFFICIAL-STYLE-SUBSET,64,balanced,0.06774568557739258,balanced n64 subset; OpenAI current default moderation API; LlamaGuard 8-bit local; not full Table 2
R2-Guard MLN,ToxicChat,0.903,0.9523332261471444,0.049333226147144416,OFFICIAL-STYLE-SUBSET,64,balanced,0.06839179992675781,balanced n64 subset; OpenAI current default moderation API; LlamaGuard 8-bit local; not full Table 2
R2-Guard MLN,TwinSafety,0.758,0.5319984934232156,-0.22600150657678442,OFFICIAL-STYLE-SUBSET,64,balanced,0.06989717483520508,balanced n64 subset; OpenAI current default moderation API; LlamaGuard 8-bit local; not full Table 2
R2-Guard MLN,XSTest,0.878,0.9618698629618467,0.08386986296184673,OFFICIAL-STYLE-SUBSET,64,balanced,0.06160855293273926,balanced n64 subset; OpenAI current default moderation API; LlamaGuard 8-bit local; not full Table 2
R2-Guard PC-like,BeaverTails,0.825,0.6445922479944655,-0.1804077520055345,OFFICIAL-STYLE-SUBSET / PC-LIKE-RELEASED-CODE,64,balanced,0.0276491641998291,balanced n64 subset; OpenAI current default moderation API; LlamaGuard 8-bit local; not full Table 2
R2-Guard PC-like,OpenAI Mod,0.924,0.9002773428017755,-0.023722657198224528,OFFICIAL-STYLE-SUBSET / PC-LIKE-RELEASED-CODE,64,balanced,0.02662181854248047,balanced n64 subset; OpenAI current default moderation API; LlamaGuard 8-bit local; not full Table 2
R2-Guard PC-like,Overkill,0.919,0.9782202611397128,0.05922026113971279,OFFICIAL-STYLE-SUBSET / PC-LIKE-RELEASED-CODE,64,balanced,0.030535459518432617,balanced n64 subset; OpenAI current default moderation API; LlamaGuard 8-bit local; not full Table 2
R2-Guard PC-like,ToxicChat,0.909,0.9523332261471444,0.04333322614714441,OFFICIAL-STYLE-SUBSET / PC-LIKE-RELEASED-CODE,64,balanced,0.02918386459350586,balanced n64 subset; OpenAI current default moderation API; LlamaGuard 8-bit local; not full Table 2
R2-Guard PC-like,TwinSafety,0.757,0.5319984934232156,-0.22500150657678442,OFFICIAL-STYLE-SUBSET / PC-LIKE-RELEASED-CODE,64,balanced,0.026589155197143555,balanced n64 subset; OpenAI current default moderation API; LlamaGuard 8-bit local; not full Table 2
R2-Guard PC-like,XSTest,0.882,0.9618698629618467,0.07986986296184673,OFFICIAL-STYLE-SUBSET / PC-LIKE-RELEASED-CODE,64,balanced,0.025807619094848633,balanced n64 subset; OpenAI current default moderation API; LlamaGuard 8-bit local; not full Table 2
